Sequence_ID	Organism	Collected_by	Collection_date	Country	Identified_by	Lat_Lon	Specimen_voucher
Seq-DBG-F-033582	Hymenoscyphus calyculus	Ikuko Lubow; Ed Lubow	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Ed Lubow	40.035367 -105.536595	DBG:DBG:DBG-F-033582
Seq-DBG-F-033584	Tricholoma focale	Amy Honan; Roy E. Halling	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Amy Honan	40.043469 -105.571755	DBG:DBG:DBG-F-033584
Seq-DBG-F-033585	 		NaN-undefined-NaN	: , , 		 	:DBG:DBG-F-033585
Seq-DBG-F-033586	Calocybe aromatica	Alisha Quandt	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Ed Lubow	40.035367 -105.536595	DBG:DBG:DBG-F-033586
Seq-DBG-F-033588	 		NaN-undefined-NaN	: , , 		 	:DBG:DBG-F-033588
Seq-DBG-F-033589	Russula favrei	Ikuko Lubow; Ed Lubow	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Ed Lubow	40.032831 -105.536148	DBG:DBG:DBG-F-033589
Seq-DBG-F-033590	Hymenoscyphus calyculus	Ikuko Lubow; Ed Lubow	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Ed Lubow	40.031214 -105.538396	DBG:DBG:DBG-F-033590
Seq-DBG-F-033591	Russula xerampelina	Alisha Quandt	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Ed Lubow	40.035367 -105.536595	DBG:DBG:DBG-F-033591
Seq-DBG-F-033593	Clitocybe vibecina	Ikuko Lubow; Ed Lubow	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Ed Lubow	40.035367 -105.536595	DBG:DBG:DBG-F-033593
Seq-DBG-F-033592	Hydnellum scabrosus	Ikuko Lubow; Ed Lubow	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Roy E. Halling	40.035367 -105.536595	DBG:DBG:DBG-F-033592
